taxonCode,level,n_annotations,is_ancestor,americas,eurasia
aegithalidae,family,48,1,0,1
alaudidae,family,5163,1,1,1
alcedinidae,family,41,1,1,1
anatidae,family,5388,1,1,1
apodidae,family,265,1,1,1
ardeidae,family,17087,1,1,1
bombycillidae,family,566,1,1,1
burhinidae,family,385,1,0,1
calcariidae,family,1923,1,1,1
caprimulgidae,family,3200,1,1,1
cardinalidae,family,13272,1,1,0
charadriidae,family,12016,1,1,1
corvidae,family,1149,1,1,1
cuculidae,family,1729,1,1,1
emberizidae,family,3649,1,0,1
fringillidae,family,12579,1,1,1
gruidae,family,2005,1,1,1
haematopodidae,family,807,1,1,1
hirundinidae,family,4754,1,1,1
icteridae,family,1964,1,1,0
laridae,family,1332,1,1,1
meropidae,family,118,1,0,1
mimidae,family,24,1,1,0
motacillidae,family,30393,1,1,1
muscicapidae,family,4313,1,0,1
paridae,family,1064,1,1,1
parulidae,family,158888,1,1,0
passerellidae,family,102046,1,1,0
passeridae,family,122,1,1,1
phasianidae,family,1285,1,0,1
phylloscopidae,family,216,1,0,1
podicipedidae,family,855,1,1,1
prunellidae,family,1270,1,0,1
rallidae,family,4288,1,1,1
recurvirostridae,family,3310,1,1,1
regulidae,family,520,1,1,1
scolopacidae,family,42920,1,1,1
scotocercidae,family,49,1,0,1
sittidae,family,406,1,1,1
strigidae,family,1077,1,1,1
thraupidae,family,79,1,1,0
troglodytidae,family,23,1,1,1
turdidae,family,94211,1,1,1
tytonidae,family,179,1,1,1
anseriformes,order,5388,1,1,1
caprimulgiformes,order,3465,1,1,1
charadriiformes,order,60770,1,1,1
coraciiformes,order,159,1,1,1
cuculiformes,order,1729,1,1,1
galliformes,order,1285,1,1,1
gruiformes,order,6293,1,1,1
passeriformes,order,438914,1,1,1
pelecaniformes,order,17094,1,1,1
podicipediformes,order,855,1,1,1
strigiformes,order,1256,1,1,1
blueb,slash,335,1,1,0
bunt,slash,3861,0,1,0
bzwa,slash,12096,0,1,0
ccbrs,slash,1288,1,1,0
cups,slash,13138,0,1,0
dbup,slash,18199,0,1,0
desp,slash,17506,0,1,0
dewa,slash,2578,0,1,0
gcbi,slash,3125,0,1,0
gros,slash,2293,1,1,0
hssp,slash,4899,1,1,0
mwar,slash,1432,1,1,0
sbuf,slash,17313,0,1,0
sfhs,slash,9969,0,1,0
swli,slash,2297,0,1,0
tana,slash,364,1,1,0
thsh,slash,39888,0,1,0
with,slash,98,0,0,1
zeep,slash,41852,0,1,0
ameavo,species,1199,0,1,0
amebit,species,573,0,1,0
amegfi,species,542,0,1,0
ameoys,species,118,0,1,0
amepip,species,1292,0,1,0
amered,species,9684,0,1,0
amerob,species,612,0,1,0
amewig,species,69,0,1,0
amgplo,species,784,0,1,0
amtspa,species,1883,0,1,0
asikoe2,species,20,0,0,1
babwar,species,542,0,1,0
baisan,species,2203,0,1,0
balori,species,147,0,1,0
batgod,species,1066,0,0,1
bawwar,species,1478,0,1,0
bbwduc,species,124,0,1,1
bcnher,species,7412,0,1,1
bicthr,species,380,0,1,0
bkbcuc,species,533,0,1,0
bkbplo,species,1361,0,1,0
bkbwar,species,54,0,1,0
bkhgul,species,71,0,0,1
bknsti,species,1820,0,1,0
bkpwar,species,756,0,1,0
bkrfin,species,54,0,1,0
bkwsti,species,285,0,0,1
blbgra1,species,79,0,1,0
blkoys,species,161,0,1,0
blksco1,species,645,0,0,1
blkski,species,160,0,1,0
blugrb1,species,183,0,1,0
blutit,species,225,0,0,1
boboli,species,1419,0,1,0
bohwax,species,58,0,1,1
brambl,species,1493,0,0,1
brant,species,251,0,1,0
brespa,species,702,0,1,0
brnowl,species,179,0,1,1
btbwar,species,3034,0,1,0
btnwar,species,927,0,1,0
btywar,species,29,0,1,0
bubsan,species,52,0,1,0
buwwar,species,172,0,1,0
camwar,species,2476,0,1,0
cangoo,species,774,0,1,0
canwar,species,1544,0,1,0
carcro1,species,189,0,0,1
casfin,species,33,0,1,0
caster1,species,1015,0,1,0
categr1,species,523,0,1,1
cedwax,species,508,0,1,0
cetwar1,species,49,0,0,1
chclon,species,893,0,1,0
chispa,species,11040,0,1,0
chswar,species,4594,0,1,0
clcspa,species,575,0,1,0
comcha,species,735,0,0,1
comchi1,species,169,0,0,1
comcra,species,1156,0,0,1
comgal1,species,46,0,1,0
comgre,species,1310,0,0,1
comkin1,species,23,0,0,1
commoo3,species,445,0,0,1
comnig,species,3166,0,1,0
comnig1,species,387,0,0,1
comqua1,species,1285,0,0,1
comred,species,195,0,1,0
comred1,species,1020,0,0,1
comros,species,7305,0,0,1
comsan,species,455,0,0,1
comsni,species,566,0,0,1
comswi,species,265,0,0,1
comyel,species,5958,0,1,0
conwar,species,41,0,1,0
corplo,species,1480,0,0,1
cursan,species,395,0,0,1
daejun,species,1149,0,1,0
dickci,species,553,0,1,0
dunlin,species,2640,0,1,1
dunnoc1,species,987,0,0,1
easblu,species,72,0,1,0
easmea,species,131,0,1,0
easowl1,species,25,0,1,0
eaywag,species,273,0,0,1
eaywag1,species,452,0,0,1
eubeat1,species,118,0,0,1
eugplo,species,126,0,0,1
eupfly1,species,940,0,0,1
eurbla,species,1199,0,0,1
eurcoo,species,539,0,0,1
eurcur,species,1233,0,0,1
eurdot,species,644,0,0,1
eurgol,species,85,0,0,1
eurgre1,species,29,0,0,1
eurlin1,species,169,0,0,1
eurmag1,species,99,0,0,1
euroys1,species,528,0,0,1
eurrob1,species,1646,0,0,1
eursco1,species,92,0,0,1
eursis,species,350,0,0,1
eutkne1,species,385,0,0,1
evegro,species,24,0,1,0
fieldf,species,715,0,0,1
fiespa,species,273,0,1,0
forwag1,species,39,0,0,1
foxspa,species,116,0,1,0
fuwduc,species,114,0,1,0
gadwal,species,51,0,1,1
gcrfin,species,47,0,1,0
gnttow,species,20,0,1,0
gnwtea,species,410,0,1,1
gockin,species,488,0,1,0
gocspa,species,222,0,1,0
goldcr1,species,27,0,0,1
gragoo,species,99,0,0,1
graher1,species,2171,0,0,1
graspa,species,1757,0,1,0
grawar,species,160,0,1,0
grbher3,species,1520,0,1,0
grebit1,species,1271,0,0,1
greegr,species,249,0,1,0
gretit1,species,386,0,0,1
greyel,species,1212,0,1,0
grnher,species,967,0,1,0
grnsan,species,1257,0,0,1
grscuc1,species,202,0,0,1
grywag,species,61,0,0,1
gwfgoo,species,144,0,1,0
gycthr,species,2608,0,1,0
henspa,species,90,0,1,0
herthr,species,1261,0,1,0
herwar,species,67,0,1,0
hooori,species,36,0,1,0
hoowar,species,879,0,1,0
horlar,species,485,0,1,0
houfin,species,76,0,1,0
houspa,species,122,0,1,1
hudgod,species,602,0,1,0
indbun,species,3104,0,1,0
indcuc1,species,313,0,0,1
killde,species,3539,0,1,0
kinrai4,species,57,0,1,0
laplon,species,505,0,1,1
larhac2,species,34,0,0,1
larspa,species,342,0,1,0
lazbun,species,243,0,1,0
leabit,species,239,0,1,0
leasan,species,2886,0,1,0
lecspa,species,307,0,1,0
lesgol,species,57,0,1,0
lesyel,species,1954,0,1,0
linspa,species,150,0,1,0
lirplo,species,1427,0,0,1
litbit1,species,698,0,0,1
litbun,species,1698,0,0,1
litegr,species,413,0,0,1
litgre1,species,519,0,0,1
litowl1,species,273,0,0,1
lobcur,species,743,0,1,0
lobdow,species,571,0,1,0
lobplo1,species,21,0,0,1
loeowl,species,20,0,1,1
lottit5,species,45,0,0,1
macwar,species,592,0,1,0
magwar,species,5398,0,1,0
mallar3,species,629,0,1,1
margod,species,777,0,1,0
meapip1,species,1147,0,0,1
misthr1,species,21,0,0,1
moublu,species,66,0,1,0
mouplo,species,223,0,1,0
mouwar,species,839,0,1,0
naswar,species,1166,0,1,0
norlap,species,336,0,0,1
normoc,species,20,0,1,0
norpar,species,2451,0,1,0
norwat,species,1384,0,1,0
nstspa,species,31,0,1,0
olbpip,species,24352,0,0,1
orcori,species,45,0,1,0
orcwar,species,53,0,1,0
orimag1,species,806,0,0,1
ortbun1,species,1153,0,0,1
ovenbi1,species,8482,0,1,0
palbun,species,58,0,0,1
palwar,species,1055,0,1,0
pecsan,species,2496,0,1,0
pinbun,species,130,0,0,1
pingro,species,43,0,1,0
pinsis,species,918,0,1,0
pinwar,species,94,0,1,0
pipplo,species,439,0,1,0
prawar,species,66,0,1,0
prowar,species,76,0,1,0
purfin,species,182,0,1,0
purgal2,species,28,0,1,0
purher1,species,527,0,0,1
rebnut,species,378,0,1,0
redcro,species,33,0,1,1
redcro9,species,139,0,1,0
redkno,species,1509,0,1,1
redpha1,species,435,0,1,1
redwin,species,1621,0,0,1
reebun,species,249,0,0,1
renpha,species,445,0,1,1
rerswa1,species,4721,0,0,1
retpip,species,26,0,0,1
ricpip1,species,349,0,0,1
rinouz1,species,685,0,0,1
robgro,species,2286,0,1,0
rocbun1,species,50,0,0,1
rosgoo,species,175,0,1,0
rucspa,species,24,0,1,0
rudtur,species,1755,0,1,1
sancra,species,849,0,1,0
sander,species,1171,0,1,1
savspa,species,16553,0,1,0
scatan,species,354,0,1,0
seaspa,species,20,0,1,0
semplo,species,1249,0,1,0
semsan,species,615,0,1,0
shbdow,species,1129,0,1,0
sibacc,species,283,0,0,1
sibrub,species,236,0,0,1
skylar,species,4531,0,0,1
smilon,species,98,0,1,0
snobun,species,426,0,1,1
snogoo,species,283,0,1,0
snoplo5,species,380,0,1,0
solsan,species,1144,0,1,0
sonspa,species,414,0,1,0
sonthr1,species,2811,0,0,1
sora,species,532,0,1,0
spocra1,species,473,0,0,1
spofly1,species,1100,0,0,1
spored,species,27,0,0,1
sposan,species,1684,0,1,0
sprpip,species,237,0,1,0
stisan,species,364,0,1,0
strher,species,141,0,0,1
swaspa,species,128,0,1,0
swathr,species,32622,0,1,0
swawar,species,38,0,1,0
tawowl1,species,652,0,0,1
tawpip1,species,159,0,0,1
tenwar,species,233,0,1,0
trepip,species,1575,0,0,1
tribun1,species,25,0,0,1
triher,species,248,0,1,0
truswa,species,66,0,1,0
tunswa,species,1365,0,1,1
uplsan,species,2255,0,1,0
veery,species,4566,0,1,0
vesspa,species,950,0,1,0
virrai,species,1788,0,1,0
virwar,species,98,0,1,0
